word,valence,arousal
masochism,-3.120000,1.320000
massacre,-3.360000,1.760000
meaningless,-3.000000,-2.920000
melancholic,-2.480000,-2.280000
melancholy,-2.480000,-2.280000
mercilessness,-3.120000,1.320000
merriment,3.520000,1.240000
merry,4.000000,3.000000
merrymaking,3.360000,2.240000
miffed,-3.040000,1.400000
mild,-0.500000,-3.000000
million,2.000000,0.500000
mirth,3.520000,1.240000
mirthful,4.000000,3.000000
mirthfulness,3.520000,1.240000
miserable,-4.000000,-1.500000
misery,-2.000000,-0.360000
misgiving,-2.680000,0.640000
missed,-3.320000,-2.680000
missing,-4.000000,-3.480000
mistaken,-4.000000,-2.840000
mistake,-4.000000,-2.222400
mistakes,-4.000000,0.571600
misunderstanding,-3.500000,-0.500000
misunderstand,-3.500000,-0.500000
misconceived,-3.500000,-0.500000
mistrust,-2.680000,0.640000
moderate,-0.800000,-1.600000
modest,-0.800000,-3.200000
moodiness,-1.800000,-2.000000
moody,-2.480000,-2.280000
moon,3.120000,-2.680000
moonlight,3.000000,-4.000000
morning,0.500000,-2.000000
moron,-4.000000,-3.200000
morons,-4.000000,-3.000000
mortality,-3.360000,1.760000
mortified,-4.000000,0.000000
mother,2.666800,-0.666800
mothers,3.272800,-0.727200
mother's,2.857200,-1.714400
motionless,0.000000,-2.680000
mournful,-2.480000,-2.280000
mournfulness,-1.800000,-2.000000
mourning,-2.480000,-2.280000
murderer,-3.480000,2.480000
murderousness,-3.120000,1.320000
music,3.520000,2.000000
musical,2.520000,1.520000
musicians,1.320000,3.080000
mutilate,-3.160000,1.400000
nazi,-2.680000,3.120000
nazis,-2.680000,3.320000
nectar,1.920000,-1.120000
negative,-3.500000,0.500000
nervous,-2.000000,2.640000
nervousness,-4.000000,0.800000
neurotic,-1.000000,2.520000
neutral,-0.363600,-1.454400
nightmare,-3.120000,4.000000
marriage,2.666800,1.777600
marriages,2.000000,0.444400
married,3.111200,0.666800
marry,3.428400,1.600000
mars,1.500000,-1.818000
noise,-3.120000,2.240000
nonviolent,3.600000,-1.200000
nowhere,-3.200000,-2.800000
obliterate,-3.520000,1.760000
offence,-3.480000,3.000000
offender,-3.680000,3.000000
offends,-3.440000,4.000000
offense,-3.440000,4.000000
opposition,-3.200000,0.400000
oppression,-1.800000,-2.000000
optimism,2.800000,0.000000
orgasm,3.320000,3.120000
orgy,3.360000,2.240000
outrage,-4.000000,3.560000
overjoy,3.080000,3.080000
overjoyed,3.120000,3.120000
overworked,-3.080000,2.160000
pacific,0.000000,-1.600000
pacify,2.320000,-1.800000
pain,-4.000000,2.280000
painfully,-4.000000,2.320000
panic,-3.000000,2.320000
paradisiacal,0.000000,-2.680000
paradise,2.400000,1.600000
party,2.000000,3.000000
partying,1.720000,3.440000
passion,3.040000,2.280000
passionate,3.560000,2.240000
pastoral,0.000000,-2.680000
pathetic,-4.000000,-1.500000
patient,-1.500000,-0.500000
peace,2.720000,-2.040000
peaceful,3.600000,-1.200000
peace-loving,3.600000,-1.200000
penance,-2.480000,-2.280000
penitence,-2.480000,-2.280000
pensive,-1.500000,-2.000000
peppy,4.000000,3.000000
persecution,-3.120000,1.320000
perturbed,-3.040000,1.400000
pervert,-2.200000,1.280000
pessimistic,-2.480000,-2.280000
philia,0.500000,-3.333200
pillow,2.920000,-2.040000
piss,-1.720000,1.160000
pissed,-2.000000,2.400000
pisses,-1.360000,0.880000
pity,-1.640000,-1.280000
placid,0.000000,-2.680000
placidity,0.000000,-2.680000
bastard,-3.428400,0.888800
bastards,-2.000000,0.333200
motherfucker,-3.428400,0.888800
motherfuckers,-3.428400,0.888800
idiot,-3.428400,0.888800
asshole,-3.428400,0.888800
dumbass,-3.428400,0.888800
fuckup,-3.428400,0.888800
shithead,-3.428400,0.888800
jackass,-3.428400,0.888800
cocksucker,-3.428400,0.888800
dickhead,-3.428400,0.888800
jerk,-3.428400,0.888800
schmuck,-3.428400,0.888800
asswipe,-3.428400,0.888800
asshat,-3.428400,0.888800
planet,0.000000,0.000000
planets,-0.500000,0.000000
plant,1.000000,-1.000000
plants,0.000000,-2.480000
play,2.200000,3.080000
playful,4.000000,3.000000
playing,2.200000,4.000000
plays,1.760000,1.760000
pleasance,3.520000,1.240000
pleased,2.920000,1.080000
pleasing,2.500000,2.000000
pleasurable,2.285600,1.714400
pleasure,3.520000,1.240000
pleasure,2.500000,2.000000
poison,-3.000000,1.040000
polite,0.500000,-3.333200
politely,1.454400,-2.182000
politeness,2.200000,-1.240000
politeness,2.285600,-0.444400
pollute,-3.160000,1.080000
corruption,-2.400000,0.923200
pollution,-2.400000,0.923200
infection,-2.400000,0.923200
poltergeist,-2.222400,-0.400000
positive,2.000000,-0.500000
prejudice,-3.440000,-1.720000
preoccupation,-3.428400,0.666800
presage,-2.680000,0.640000
pretty,2.760000,1.040000
pricking,-4.000000,2.200000
prison,-4.000000,0.000000
prisoners,-4.000000,0.640000
problem,-3.555600,-0.444400
problems,-3.500000,0.000000
profligacy,-2.040000,1.400000
provoking,-3.200000,2.400000
punches,-2.840000,2.280000
pure,2.280000,-2.840000
quarrel,-2.680000,3.440000
quiet,2.000000,-1.720000
quieten,0.000000,-2.680000
rabid,2.000000,3.640000
rabies,-3.240000,1.120000
rage,-3.320000,2.840000
rancor,-3.120000,1.320000
rape,-3.760000,1.800000
rapture,3.080000,3.080000
ravage,-3.360000,1.760000
ravishment,3.080000,3.080000
regret,-2.480000,-2.280000
regretful,-3.500000,-1.333200
regretfully,-3.428400,-1.500000
regretted,-4.000000,-1.142800
rejoice,3.520000,1.240000
rejoicing,3.520000,1.240000
relax,0.800000,-2.800000
relaxation,0.000000,-2.680000
relaxed,2.000000,-2.600000
relaxing,0.800000,-2.800000
remorse,-2.480000,-2.280000
repentance,-2.480000,-2.280000
repugnance,-3.440000,-1.720000
resentment,-4.000000,3.560000
rest,1.320000,-2.160000
restful,0.000000,-2.680000
restlessness,-4.000000,0.800000
revelry,3.360000,2.240000
revenge,-2.880000,1.960000
rhythmic,2.640000,0.320000
rhythms,0.800000,0.400000
